CODE,NAME,COMMENT,LAST UPDATE,BIG THEME,SOURCE ACRONYM,SOURCE,SOURCE URL,FREQUENCY,MEASURE,UNIT,SERIES STATUS,THEME CODE,COUNTRY,NUMERICA
THOMICM,Taxa de homicídios do sexo masculino (100.000 Habitantes),"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Neste caso, a taxa por 100.000 habitantes é calculada através da divisão do indicador principal (número de homicídios do sexo masculino) pelo total da população em questão, sendo este resultado multiplicado por 100.000. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Elaboração Ipeadata: Cálculo da Taxa, divisão do grupo populacional multiplicado por 100.000 pela população de referência. Mais informações: Texto para Discussão IPEA 1848 e Declaração de Óbito (PDF).",2025-05-23T16:59:00.44-03:00,Regional,IPEA,Instituto de Pesquisa Econômica Aplicada,www.ipea.gov.br,Anual,(%),,,20,BRA,True
THOMICMJ,Taxa de homicídios de jovens de 15 a 29 anos do sexo masculino (100.000 Habitantes),"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Neste caso, a taxa por 100.000 habitantes é calculada através da divisão do indicador principal (número de homicídios de jovens de 15 a 29 anos do sexo masculino) pelo total da população em questão, sendo este resultado multiplicado por 100.000. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Elaboração Ipeadata: Cálculo da Taxa, divisão do grupo populacional multiplicado por 100.000 pela população de referência. Mais informações: Texto para Discussão IPEA 1848 e Declaração de Óbito (PDF).",2025-05-23T16:59:42.27-03:00,Regional,IPEA,Instituto de Pesquisa Econômica Aplicada,www.ipea.gov.br,Anual,(%),,,20,BRA,True
ACIDT,Número de vítimas a óbito em acidente de trânsito,"Óbito por causa externa ou não-natural. Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
Para o período de 1979 a 1995 foram considerados os códigos CIDs 9: E800-E848 (Acidentes de estrada de ferro, Acidentes de trânsito de veículos a motor, Acidentes de veículos a motor exceto trânsito, Acidentes de outros veículos de estrada, Acidentes em transporte por água, Acidentes de transporte aéreo e espacial, Acidentes de veículos ñ classif em outra parte)
Foram utilizados a causa CID-BR 10: V01-V99 (Acidentes de Transporte).Critério de seleção: Óbitos por residência. <p>
    Para acessar outras desagregações, utilize os atalhos a seguir:
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149410&MINDATA=2015&MAXDATA=2025&TNIVID=0&TPAID=1&module=R>Brasil</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149410&MINDATA=2015&MAXDATA=2025&TNIVID=1&TPAID=1&module=R>por Região</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149410&MINDATA=2015&MAXDATA=2025&TNIVID=2&TPAID=1&module=R>por UF</a> |
    <a href=http://www.ipeadata.gov.br/ExibeSerieR.aspx?stub=1&serid=1611149410&MINDATA=2015&MAXDATA=2025&TNIVID=5&TPAID=98&module=R>por Capitais</a>.

<p> <a href=""https://www.ipea.gov.br/atlasviolencia/filtros-series"" target=""_blank"">Referência: Atlas da Violência</a>

<p> <a href=""http://www.ipeadata.gov.br/Default.aspx"" target=""_blank"">Ipeadata - Página principal</a>.",2025-02-27T13:45:11.053-03:00,Regional,DATASUS,DATASUS – Site SUS (Sistema Único de Saúde).,www.datasus.gov.br,Anual,Unidade,,,20,BRA,True
ACIDTF,Número de vítimas a óbito em acidente de trânsito do sexo feminino,"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Para cada ano será mostrado o número de óbitos por causas não naturais. Neste caso, trata-se do número de vítimas por acidentes de trânsito. Números pertencentes ao sexo feminino. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Mais informações: Declaração de Óbito (PDF).",2025-02-27T13:45:18.777-03:00,Regional,DATASUS,DATASUS – Site SUS (Sistema Único de Saúde).,www.datasus.gov.br,Anual,Unidade,,,20,BRA,True
ACIDTFJ,Número de vítimas a óbito em acidente de trânsito de jovens de 15 a 29 anos do sexo feminino,"Para o período de 1979 a 1995 foram considerados os códigos CIDs 9: E800-E848 (Acidentes de estrada de ferro, Acidentes de trânsito de veículos a motor, Acidentes de veículos a motor exceto trânsito, Acidentes de outros veículos de estrada, Acidentes em transporte por água, Acidentes de transporte aéreo e espacial, Acidentes de veículos ñ classif em outra parte). Foram considerados os óbitos femininos para os indivíduos da faixa etária de 15 a 29 anos.
Foram utilizados a causa CID-BR- 10: V01-V99 (Acidentes de Transporte).Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
Óbitos por residência.
",2025-02-27T13:45:39.953-03:00,Regional,DATASUS,DATASUS – Site SUS (Sistema Único de Saúde).,www.datasus.gov.br,Anual,Unidade,,,20,BRA,True
ACIDTJ,Número de vítimas a óbito em acidente de trânsito de jovens de 15 a 29 anos,"Para o período de 1979 a 1995 foram considerados os códigos CIDs 9: E800-E848 (Acidentes de estrada de ferro, Acidentes de trânsito de veículos a motor, Acidentes de veículos a motor exceto trânsito, Acidentes de outros veículos de estrada, Acidentes em transporte por água, Acidentes de transporte aéreo e espacial, Acidentes de veículos não classificado em outra parte).
Foram utilizados a causa CID-BR- 10: V01-V99 (Acidentes de Transporte).
Óbitos por residência. Mais informações: Declaração de Óbito (PDF).",2025-02-27T13:45:33.93-03:00,Regional,DATASUS,DATASUS – Site SUS (Sistema Único de Saúde).,www.datasus.gov.br,Anual,Unidade,,,20,BRA,True
ACIDTM,Número de vítimas a óbito em acidente de trânsito do sexo masculino,"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Para cada ano será mostrado o número de óbitos por causas não naturais. Neste caso, trata-se do número de vítimas por acidentes de trânsito. Números pertencentes ao sexo masculino. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Mais informações: Declaração de Óbito (PDF).",2025-02-27T13:45:26.493-03:00,Regional,DATASUS,DATASUS – Site SUS (Sistema Único de Saúde).,www.datasus.gov.br,Anual,Unidade,,,20,BRA,True
ACIDTMJ,Número de vítimas a óbito em acidente de trânsito de jovens de 15 a 29 anos do sexo masculino,"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Para cada ano será mostrado o número de óbitos por causas não naturais. Neste caso, trata-se do número de vítimas por acidentes de trânsito. Números pertencentes a jovens de 15 a 29 anos, do sexo masculino. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Mais informações: Declaração de Óbito (PDF).",2025-02-27T13:45:44.133-03:00,Regional,DATASUS,DATASUS – Site SUS (Sistema Único de Saúde).,www.datasus.gov.br,Anual,Unidade,,,20,BRA,True
TACIDT,Taxa de vítimas de acidentes de trânsito a óbito (100.000 Habitantes),"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Neste caso, a taxa por 100.000 habitantes é calculada através da divisão do indicador principal (número de óbitos por acidente de trânsito) pelo total da população em questão, sendo este resultado multiplicado por 100.000. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Elaboração Ipeadata: Cálculo da Taxa, divisão do grupo populacional multiplicado por 100.000 pela população de referência. Mais informações: Texto para Discussão IPEA 1848 e Declaração de Óbito (PDF).",2025-05-23T15:42:16.217-03:00,Regional,IPEA,Instituto de Pesquisa Econômica Aplicada,www.ipea.gov.br,Anual,(%),,,20,BRA,True
TACIDTF,Taxa de vítimas de acidentes de trânsito a óbito do sexo feminino (100.000 Habitantes),"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Neste caso, a taxa por 100.000 habitantes é calculada através da divisão do indicador principal (número de óbitos por acidente de trânsito do sexo feminino) pelo total da população em questão, sendo este resultado multiplicado por 100.000. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Elaboração Ipeadata: Cálculo da Taxa, divisão do grupo populacional multiplicado por 100.000 pela população de referência. Mais informações: Texto para Discussão IPEA 1848 e Declaração de Óbito (PDF).",2025-05-23T15:42:31.713-03:00,Regional,IPEA,Instituto de Pesquisa Econômica Aplicada,www.ipea.gov.br,Anual,(%),,,20,BRA,True
TACIDTFJ,Taxa de vítimas de acidentes de trânsito a óbito de jovens de 15 a 29 anos do sexo feminino (100.000 Habitantes),"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Neste caso, a taxa por 100.000 habitantes é calculada através da divisão do indicador principal (número de óbitos por acidente de trânsito de jovens de 15 a 29 anos do sexo feminino) pelo total da população em questão, sendo este resultado multiplicado por 100.000. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Elaboração Ipeadata: Cálculo da Taxa, divisão do grupo populacional multiplicado por 100.000 pela população de referência. Mais informações: Texto para Discussão IPEA 1848 e Declaração de Óbito (PDF).",2025-05-23T15:43:13.197-03:00,Regional,IPEA,Instituto de Pesquisa Econômica Aplicada,www.ipea.gov.br,Anual,(%),,,20,BRA,True
TACIDTJ,Taxa de vítimas de acidentes de trânsito a óbito  de jovens de 15 a 29 anos (100.000 Habitantes),"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Neste caso, a taxa por 100.000 habitantes é calculada através da divisão do indicador principal (número de óbitos por acidente de trânsito de jovens de 15 a 29 anos) pelo total da população em questão, sendo este resultado multiplicado por 100.000. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Elaboração Ipeadata: Cálculo da Taxa, divisão do grupo populacional multiplicado por 100.000 pela população de referência. Mais informações: Texto para Discussão IPEA 1848 e Declaração de Óbito (PDF).",2025-05-23T15:45:18.69-03:00,Regional,IPEA,Instituto de Pesquisa Econômica Aplicada,www.ipea.gov.br,Anual,(%),,,20,BRA,True
TACIDTM,Taxa de vítimas de acidentes de trânsito a óbito do sexo masculino (100.000 Habitantes),"Óbito por causa externa ou não-natural, indiferente do tempo entre o evento lesivo e a morte propriamente, é categorizado como consequente de lesão provocada por violência (acidentes, homicídios, suicídios ou morte suspeita). Neste caso, a taxa por 100.000 habitantes é calculada através da divisão do indicador principal (número de óbitos por acidente de trânsito do sexo masculino) pelo total da população em questão, sendo este resultado multiplicado por 100.000. Fonte: Os dados originais são provenientes do SIM-DATASUS. Até 1995 as informações são do CID9. A partir de 1996 são do CID10. Elaboração Ipeadata: Cálculo da Taxa, divisão do grupo populacional multiplicado por 100.000 pela população de referência. Mais informações: Texto para Discussão IPEA 1848 e Declaração de Óbito (PDF).",2025-05-23T15:50:25.45-03:00,Regional,IPEA,Instituto de Pesquisa Econômica Aplicada,www.ipea.gov.br,Anual,(%),,,20,BRA,True
